title,url
کلاغ ۱۳۵۶ بهرام بیضائی,https://www.youtube.com/watch?v=5iZbiVoe3rU
چریکه ی تارا اثر بهرام بیضایی 1357. Cherikeh Tara 1979,https://www.youtube.com/watch?v=iv6ZRL76cak
پیش پرده فیلم پنجره 1349,https://www.youtube.com/watch?v=6xHvIwHmcJY
اهنگ دل دیوونه زنده یاد ناصر مسعودی ودختران گروه خاطره,https://www.youtube.com/watch?v=sbt8kS1b78M
پیش پرده فیلم بیگانه بیا 1347,https://www.youtube.com/watch?v=JnZuP25qy7c
"نفرین,  ناصر تقوایی 1352",https://www.youtube.com/watch?v=6NYs0izG3X4
پیش پرده فیلم شیخ صالح 1352,https://www.youtube.com/watch?v=jgBPQs-tQGs
"خاک, مسعود کیمیایی 1352",https://www.youtube.com/watch?v=gw2T8xmg-to
خواستگار 1350 فیلمی از علی حاتمی,https://www.youtube.com/watch?v=HmehYgL0DjE
برنامه -شما و رادیو با حضور و اجرای  امیر رسایی و اجرای  ترانه طنز توسط زنده یاد مرتضی احمدی,https://www.youtube.com/watch?v=l06hFAMsdxA
پیش پرده فیلم بوی گندم 1356,https://www.youtube.com/watch?v=VKUq8XhoY9M
صبح جمعه با شما با مرتضی احمدی,https://www.youtube.com/watch?v=qGprV2imDnc
پیش پرده فیلم موسرخه,https://www.youtube.com/watch?v=t5ZVdC1-JTI
فیلم غزل 1355,https://www.youtube.com/watch?v=d_OZYyokNJg
پیش پرده فیلم شب غریبان 1354,https://www.youtube.com/watch?v=Pi0IJ-6Y0gY
پیش پرده فیلم کندو 1354,https://www.youtube.com/watch?v=sq20w5rNzVw
جمیله در فیلم دختر ظالم بلا,https://www.youtube.com/watch?v=kM5o3Jp1ARU
فیلم کوتاه جلد مار ٕ 1341  فخری خوروش,https://www.youtube.com/watch?v=g3LrBUOBMNA
پیش پرده فیلم تپلی 1351,https://www.youtube.com/watch?v=86IuHXtHSX4
پیش پرده فیلم فریاد زیر آب 1356,https://www.youtube.com/watch?v=UkNEn9dmDmY
فیلم بیتا 1351,https://www.youtube.com/watch?v=IRuFbBjERhA
آواز پری هان ساواش در فیلم دو مرد خشن ، آهنگ : الستون و ولستون,https://www.youtube.com/watch?v=bivZYhwXu8Y
پیش پرده فیلم جهنم + من 1351,https://www.youtube.com/watch?v=CCFwsk2gM_Q
